Company,Rating,Reviews,Hours,Phone,Address,Website
Apollo Spectra Hospitals,4.6,"3,521 reviews",Open 24 hours,084484 40991,"Apollo Spectra Hospitals, 143, 1st Cross Rd, near Nagarjuna Hotel, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560034",/aclk?sa=l&ai=DChcSEwj_vIfjzZyGAxVoI4MDHYCvDQwYABANGgJzZg&ase=2&gclid=EAIaIgocChMI_7yH482chgMVaCODAx2Arw0MEBAYASDIARICvbrw_wcB&label=free_ps_website&sig=AOD64_15rjkxityGWP-rOqYFj8VifJ-ifQ&bp=1&nis=4&adurl
Aspire Fertility Center - IVF Clinic - Sarjapura,5.0,49 reviews,Closed ⋅ Opens 8 am Tue,096200 09410,"4th Floor, Within, NATUS Hospital, 20/13, Sarjapur - Marathahalli Rd, Carmelaram, Janatha Colony, Doddakannelli, Bengaluru, Karnataka 560035",/aclk?sa=l&ai=DChcSEwj_vIfjzZyGAxVoI4MDHYCvDQwYABAGGgJzZg&ase=2&gclid=EAIaIgocChMI_7yH482chgMVaCODAx2Arw0MEBAYAiDIARICyE7w_wcB&label=free_ps_website&sig=AOD64_25N5GdMUO1ytMJqgV-49y9AuY7PA&bp=1&nis=4&adurl
Manipal Hospitals,4.6,"21,586 reviews",Open 24 hours,1800 102 4647,"98, HAL Old Airport Rd, Kodihalli, Bengaluru, Karnataka 560017",https://www.manipalhospitals.com/oldairportroad/?utm_source=Organic&utm_medium=GMB+Organic&utm_campaign=Old+Airport+Road+Hospital+GMB
Santosh Hospital - Best Multispeciality Hospital in Bangalore,4.5,"3,138 reviews",Open 24 hours,080 4084 8888,"6/1, Promenade Rd, behind Coles Park, Pulkeshi Nagar, Pulikeshi Nagar, Bengaluru, Karnataka 560005",https://www.santoshhealthcare.com/
"SPARSH Hospital, Infantry Road",4.5,"2,288 reviews",Open 24 hours,080 6122 2000,"SPARSH Super Speciality Hospital, 146, Infantry Rd, Vasanth Nagar, Bengaluru, Karnataka 560001",http://www.sparshhospital.com/
St Philomena's Hospital,3.5,650 reviews,Open 24 hours,080 4016 4346,"Post, 4, Mother Teresa Rd, near Life Style, Viveka Nagar, Bengaluru, Karnataka 560047",https://stphilomenashospital.com/index.php
Fortis Hospital Cunningham Road,4.6,"4,483 reviews",Open 24 hours,096868 60310,"Fortis Hospital, 14, Cunningham Rd, Vasanth Nagar, Bengaluru, Karnataka 560052",https://www.fortishealthcare.com/location/fortis-hospital-cg-road-bangalore?utm_source=google-gmb&utm_medium=gmb-seo-url&utm_campaign=FHL-gmb
"HOSMAT Hospital, Magrath Road",4.1,"1,591 reviews",Open 24 hours,080 2559 3796,"45, Magrath Rd, Ashok Nagar, Bengaluru, Karnataka 560025",https://hosmathospitals.com/
Manipal Hospital Millers Road,4.4,"5,352 reviews",Open 24 hours,1800 102 4647,"71/1, Manipal Hospital, Millers Rd, opp. to St. Anne's College, Vasanth Nagar, Bengaluru, Karnataka 560052",https://www.manipalhospitals.com/millersroad/
Uvincare Hospitals Pvt Ltd.,4.3,119 reviews,Open 24 hours,082774 80000,"117, Old Madras Rd, opposite Metro Pillar Number 110, Halasuru, Lingayana Palya, Bengaluru, Karnataka 560008",#
